Timestamp,EventType,Severity,Location,TargetSector,ThreatActor,ImpactScore,Date,Hour,DayOfWeek,Month,Quarter,Year,CumulativeImpact,Latitude,Longitude
2024-01-01 00:00:00,Insider Threat,Low,South America,Energy,Hacktivist,97,2024-01-01,0,Monday,2024-01,2024Q1,2024,97,-13.749478198267813,-58.81108095830484
2024-01-01 01:00:00,Social Engineering,Medium,Australia,Healthcare,Organized Crime,24,2024-01-01,1,Monday,2024-01,2024Q1,2024,121,-21.044253600298198,130.72025764225725
2024-01-01 02:00:00,Data Breach,Critical,Asia,Energy,Nation State,100,2024-01-01,2,Monday,2024-01,2024Q1,2024,221,30.972402018229126,107.55136481587047
2024-01-01 03:00:00,Social Engineering,High,Australia,Energy,Organized Crime,80,2024-01-01,3,Monday,2024-01,2024Q1,2024,301,-34.21834011227843,131.41939988002764
2024-01-01 04:00:00,Social Engineering,High,Africa,Government,Unknown,50,2024-01-01,4,Monday,2024-01,2024Q1,2024,351,3.416547533254529,22.82638283976926
2024-01-01 05:00:00,Physical Intrusion,Low,Europe,Finance,Unknown,92,2024-01-01,5,Monday,2024-01,2024Q1,2024,443,49.718740984252825,6.063791182008721
2024-01-01 06:00:00,Data Breach,Medium,Africa,Manufacturing,Insider,76,2024-01-01,6,Monday,2024-01,2024Q1,2024,519,4.164238546544789,20.5454089365158
2024-01-01 07:00:00,Data Breach,Medium,North America,Government,Hacktivist,20,2024-01-01,7,Monday,2024-01,2024Q1,2024,539,42.13044104292976,-100.24447953008685
2024-01-01 08:00:00,Data Breach,Low,Asia,Finance,Hacktivist,47,2024-01-01,8,Monday,2024-01,2024Q1,2024,586,34.63235591068553,101.90607395766145
2024-01-01 09:00:00,Social Engineering,Low,Europe,Energy,Hacktivist,18,2024-01-01,9,Monday,2024-01,2024Q1,2024,604,51.027931107843095,8.425328124711944
2024-01-01 10:00:00,Insider Threat,Critical,South America,Finance,Organized Crime,26,2024-01-01,10,Monday,2024-01,2024Q1,2024,630,-7.954555147192894,-63.21735039977732
2024-01-01 11:00:00,Data Breach,Low,North America,Healthcare,Organized Crime,71,2024-01-01,11,Monday,2024-01,2024Q1,2024,701,38.54940309084052,-94.14566705033053
2024-01-01 12:00:00,Social Engineering,Low,North America,Manufacturing,Hacktivist,43,2024-01-01,12,Monday,2024-01,2024Q1,2024,744,43.68380944936483,-103.50196285903402
2024-01-01 13:00:00,Physical Intrusion,Low,Asia,Government,Insider,47,2024-01-01,13,Monday,2024-01,2024Q1,2024,791,36.5454299698704,104.64388197485732
2024-01-01 14:00:00,Insider Threat,Critical,Europe,Manufacturing,Nation State,85,2024-01-01,14,Monday,2024-01,2024Q1,2024,876,41.6266689089325,-0.4539585395878465
2024-01-01 15:00:00,Physical Intrusion,Medium,North America,Energy,Organized Crime,43,2024-01-01,15,Monday,2024-01,2024Q1,2024,919,33.42974635959533,-103.43624304235479
2024-01-01 16:00:00,Insider Threat,Medium,Europe,Healthcare,Hacktivist,32,2024-01-01,16,Monday,2024-01,2024Q1,2024,951,49.80193271653507,13.174063474219183
2024-01-01 17:00:00,Social Engineering,Critical,Europe,Finance,Unknown,7,2024-01-01,17,Monday,2024-01,2024Q1,2024,958,47.51152100007459,12.37461114888115
2024-01-01 18:00:00,Cyber Attack,Low,Australia,Finance,Organized Crime,87,2024-01-01,18,Monday,2024-01,2024Q1,2024,1045,-29.750415866540262,137.1821100074576
2024-01-01 19:00:00,Insider Threat,Medium,North America,Healthcare,Nation State,84,2024-01-01,19,Monday,2024-01,2024Q1,2024,1129,45.35369921112454,-100.1440697660707
2024-01-01 20:00:00,Physical Intrusion,Low,Europe,Finance,Organized Crime,84,2024-01-01,20,Monday,2024-01,2024Q1,2024,1213,42.52296874981485,11.258715313233173
2024-01-01 21:00:00,Social Engineering,Low,Asia,Government,Nation State,32,2024-01-01,21,Monday,2024-01,2024Q1,2024,1245,34.006796843490484,112.21747395691551
2024-01-01 22:00:00,Insider Threat,High,North America,Technology,Nation State,90,2024-01-01,22,Monday,2024-01,2024Q1,2024,1335,35.62998367230471,-104.6215878380027
2024-01-01 23:00:00,Cyber Attack,High,Asia,Finance,Organized Crime,100,2024-01-01,23,Monday,2024-01,2024Q1,2024,1435,42.413905425907096,111.13167682581589
2024-01-02 00:00:00,Cyber Attack,Low,Asia,Energy,Nation State,88,2024-01-02,0,Tuesday,2024-01,2024Q1,2024,1523,47.58758478867635,100.59165061184697
2024-01-02 01:00:00,Data Breach,Low,Europe,Finance,Organized Crime,65,2024-01-02,1,Tuesday,2024-01,2024Q1,2024,1588,48.44388147751229,11.513460917173035
2024-01-02 02:00:00,Data Breach,Medium,Europe,Manufacturing,Organized Crime,58,2024-01-02,2,Tuesday,2024-01,2024Q1,2024,1646,54.24309830813,5.717486484533966
2024-01-02 03:00:00,Physical Intrusion,Low,Australia,Energy,Insider,53,2024-01-02,3,Tuesday,2024-01,2024Q1,2024,1699,-18.651248528929912,139.23836696431005
2024-01-02 04:00:00,Insider Threat,Low,Australia,Finance,Unknown,92,2024-01-02,4,Tuesday,2024-01,2024Q1,2024,1791,-20.50637378440681,128.55910085906655
2024-01-02 05:00:00,Insider Threat,Low,North America,Finance,Nation State,90,2024-01-02,5,Tuesday,2024-01,2024Q1,2024,1881,43.955230379170466,-105.02388418928712
2024-01-02 06:00:00,Data Breach,Low,Australia,Energy,Organized Crime,34,2024-01-02,6,Tuesday,2024-01,2024Q1,2024,1915,-33.86417392649294,134.43835803073904
2024-01-02 07:00:00,Insider Threat,High,South America,Government,Nation State,90,2024-01-02,7,Tuesday,2024-01,2024Q1,2024,2005,-9.118473391157966,-63.93917532838811
2024-01-02 08:00:00,Insider Threat,Low,North America,Technology,Organized Crime,100,2024-01-02,8,Tuesday,2024-01,2024Q1,2024,2105,41.796374606925035,-103.5517165575282
2024-01-02 09:00:00,Cyber Attack,Low,Asia,Technology,Organized Crime,69,2024-01-02,9,Tuesday,2024-01,2024Q1,2024,2174,33.85477981345543,104.40963730709481
2024-01-02 10:00:00,Data Breach,Medium,Australia,Government,Organized Crime,56,2024-01-02,10,Tuesday,2024-01,2024Q1,2024,2230,-25.390508381465928,128.74444643467618
2024-01-02 11:00:00,Social Engineering,High,Australia,Finance,Unknown,66,2024-01-02,11,Tuesday,2024-01,2024Q1,2024,2296,-23.710740884320792,135.64004381042093
